"area_sqkm","length_km","HydroID"
381.1257,756.379856844,"201484778"
2.97,2.609274817,"201484785"
1.935,1.143785483,"201484786"
15.93,14.9930533,"201484787"
2.3211,6.104424616,"201484789"
6.4197,6.376592752,"201484791"
530.9235,605.056017323,"201484792"
1.9935,3.491972372,"201484794"
13.4208,24.216975651,"201484795"
1.5012,1.816861666,"201484805"
1.0359,2.176631667,"201484808"
4.5063,8.518296403,"201484816"
1.0323,1.064274617,"201484817"
39.1788,31.56555525,"201484823"
5.2173,4.099645822,"201484826"
6.2136,5.530864672,"201484827"
58.3164,111.194781087,"201484830"
48.7278,94.43245102,"201484831"
54.8667,105.83379461,"201484833"
53.9334,104.336530769,"201484834"
0.8055,0.961833247,"201484835"
10.0134,21.985014192,"201484836"
2.1213,4.33200979,"201484839"
382.7322,760.247525977,"201484844"
1.8954,4.205972215,"201484845"
1.242,1.559929829,"201484852"
1.206,1.720609807,"201484853"
0.8739,1.213865933,"201484868"
17.0784,27.382610371,"201484882"
1.3356,2.043105689,"201484891"
4.3911,5.600454482,"201484893"
0.8496,1.259892458,"201484901"
2.5821,4.176784659,"201484911"
2.9934,1.394431778,"201484919"
244.3329,456.238148789,"201484922"
0.8352,1.291854507,"201484923"
673.1415,730.524635394,"201484927"
1.4328,0.302954997,"201484928"
1.2177,2.260601436,"201484934"
385.8588,765.725267265,"201484935"
1.7073,3.131838517,"201484936"
597.177,659.419665423,"201484940"
538.8471,613.271790265,"201484941"
387.5724,768.949390113,"201484942"
16.9263,31.328087788,"201484946"
623.4777,687.651017401,"201484947"
5.5161,4.991423445,"201484952"
600.4107,663.647856296,"201484959"
25.8012,53.427798876,"201484964"
2.385,1.791827398,"201484968"
6.9489,9.338398947,"201484971"
1.2609,1.400254972,"201484979"
2.6082,0.67190958,"201484983"
1.6578,2.126237821,"201484984"
58.1697,45.692409179,"201484988"
6.5502,15.022909217,"201484997"
2.6775,4.922870581,"201484998"
5.5494,8.563705121,"201484999"
1.9431,3.632262175,"201485009"
8.5734,20.333654959,"201485014"
2.4651,5.115810125,"201485015"
15.0597,16.286341284,"201485019"
10.2105,17.451868144,"201485020"
24.0309,41.346033633,"201485021"
0.9,1.364840824,"201485022"
670.8024,728.790322628,"201485036"
636.2478,699.444092872,"201485037"
629.2008,691.690988253,"201485038"
1.4058,0.957060871,"201485044"
7.2063,3.523805474,"201485045"
1.8468,3.892837266,"201485048"
245.8485,458.405607929,"201485049"
6.1569,12.095397594,"201485050"
1.2555,2.569473571,"201485052"
4.959,5.768454772,"201485053"
10.1583,15.577372178,"201485054"
1.3401,0.424614194,"201485055"
22.7889,23.252052046,"201485060"
55.0098,43.510004141,"201485062"
1.6011,1.68743845,"201485063"
2.9691,4.467778664,"201485064"
8.9352,15.581869029,"201485081"
13.4181,11.783350678,"201485085"
17.703,18.889433297,"201485086"
7.9344,14.27519655,"201485088"
1.8927,2.544015287,"201485097"
16.5582,21.747773681,"201485098"
5.5818,0.970823022,"201485099"
32.9445,27.885419069,"201485103"
2.205,4.355519069,"201485104"
2.3319,6.576069913,"201485107"
47.9124,93.340597762,"201485115"
